date,box,device,model,arch,metric,condition,voltage_offset_mv,power_cap_w,n,tok_per_sec,tok_source,watts_med,watts_max,temp_max_c,temp_kind,sclk_med_mhz,sclk_min_mhz,gen_tokens,prompt_tok_per_sec,gen_tok_per_sec,hashes,serving_stack,notes,source_kind,power_scope
2026-09-06,box-a,both-dgpu,gemma4:26b-a4b-it-qat,moe,decode,stock,,180,5,106.4,gen,146,149,53,nvidia-smi,2790,2752,256,2114,106.4,5/5,ollama 0.33.2 over CUDA,boxa_v2.jsonl; label=A-W1-moe-decode; raw timestamps UTC; watts are the sum of BOTH cards at each retained timestamp; cap is per card; voltage offset unrecorded,raw_jsonl_aggregate,sum_two_cards
2026-09-06,box-a,both-dgpu,qwen3.8:27b,dense,decode,stock,,180,5,23.0,gen,190,196,69,nvidia-smi,2782,2745,256,350,23.0,5/5,ollama 0.33.2 over CUDA,boxa_v2.jsonl; label=A-W2-dense-decode; raw timestamps UTC; watts are the sum of BOTH cards at each retained timestamp; cap is per card; voltage offset unrecorded,raw_jsonl_aggregate,sum_two_cards
2026-09-06,box-a,both-dgpu,qwen3.8:27b,dense,prefill,stock,,180,5,1294,prompt,307,328,84,nvidia-smi,2745,2677,32,1294,22.2,n/a (nonce),ollama 0.33.2 over CUDA,boxa_v2.jsonl; label=A-W3-dense-prefill8k; raw timestamps UTC; watts are the sum of BOTH cards at each retained timestamp; cap is per card; voltage offset unrecorded,raw_jsonl_aggregate,sum_two_cards
2026-09-06,box-a,both-dgpu,gemma4:26b-a4b-it-qat,moe,prefill,stock,,180,5,4214,prompt,187,250,76,nvidia-smi,2767,2700,32,4214,87.2,n/a (nonce),ollama 0.33.2 over CUDA,boxa_v2.jsonl; label=A-W3-moe-prefill8k; raw timestamps UTC; watts are the sum of BOTH cards at each retained timestamp; cap is per card; voltage offset unrecorded,raw_jsonl_aggregate,sum_two_cards
2026-09-06,box-b,dgpu-b,gemma4:26b-a4b-it-qat,moe,decode,stock,0,300,5,110.0,gen,227,231,52,junction,3394,3259,256,1921,110.0,5/5,ollama 0.33.2 over Vulkan (RADV GFX1201),boxb_v2.jsonl; label=B-W1-moe-decode; raw timestamps UTC,raw_jsonl_aggregate,single_board
2026-09-06,box-b,dgpu-b,qwen3.8:27b,dense,decode,stock,0,300,5,53.5,gen,300,304,73,junction,2751,2541,256,466,53.5,5/5,ollama 0.33.2 over Vulkan (RADV GFX1201),boxb_v2.jsonl; label=B-W2-dense-decode; raw timestamps UTC,raw_jsonl_aggregate,single_board
2026-09-06,box-b,dgpu-b,qwen3.8:27b,dense,prefill,stock,0,300,5,880,prompt,299,303,87,junction,2655,2154,32,880,70.7,n/a (nonce),ollama 0.33.2 over Vulkan (RADV GFX1201),boxb_v2.jsonl; label=B-W3-dense-prefill8k; raw timestamps UTC,raw_jsonl_aggregate,single_board
2026-09-06,box-b,dgpu-b,gemma4:26b-a4b-it-qat,moe,prefill,stock,0,300,5,3385,prompt,287,300,82,junction,2850,1603,32,3385,101.1,n/a (nonce),ollama 0.33.2 over Vulkan (RADV GFX1201),boxb_v2.jsonl; label=B-W3-moe-prefill8k; raw timestamps UTC,raw_jsonl_aggregate,single_board
2026-09-06,box-b,dgpu-b,qwen3.8:27b,dense,decode,stock_sustain,0,300,107,48.5,gen,299,316,87,junction,2656,519,512,426,48.5,107/107,ollama 0.33.2 over Vulkan (RADV GFX1201),boxb_v2.jsonl; label=B-SUSTAIN-dense-15min; raw timestamps UTC; 15-minute run; memory maximum 88 C; junction maximum 87 C; first/last-minute gen 48.61/48.49 tok/s; sclk 2684/2656 MHz; fan maximum 3273 rpm; excluded from chart 06,raw_jsonl_aggregate,single_board
2026-09-06,box-b,dgpu-b,qwen3.8:27b,dense,decode,overdrive_exposed,0,300,3,54.1,gen,299,308,63,junction,2790,2496,256,444,54.1,3/3,ollama 0.33.2 over Vulkan (RADV GFX1201),boxb_d1parity.jsonl; label=B-W2-dense-decode-postD1; raw timestamps UTC; 0 MHz clock offset; cap unchanged; golden hash identical to stock; gen range 53.9-54.1; excluded from chart 06,raw_jsonl_aggregate,single_board
