model,tok_per_sec,metric,n_runs_for_model,condition,source,box,device,quant,serving_stack,quality_score,verdict
qwen3.6:35b-a3b-q4_K_M,114.43,generation,1,ollama bake-off; 100% GPU; 13675/12025 MiB across both cards,ollama bake-off log,box-a,both-dgpu,q4_K_M,ollama,,
gemma4:12b,39.24,generation,3,ollama bake-off; 100% GPU; 8793/763 MiB,ollama bake-off log,box-a,dgpu-a,,ollama,,
deepseek-r1:14b,42.37,generation,1,"ollama bake-off; 100% GPU; 8601/8835 MiB; device corrected dgpu-a->both-dgpu 2026-08-22: the row's own 8601/8835 MiB is a per-card split, confirmed by measuring 9131/8827 MiB today",ollama bake-off log,box-a,both-dgpu,,ollama,,
qwen3:14b,42.49,generation,1,"ollama bake-off; 100% GPU; 7657/7948 MiB; device corrected dgpu-a->both-dgpu 2026-08-22: the row's own 7657/7948 MiB is a per-card split, the same shape confirmed on deepseek-r1:14b",ollama bake-off log,box-a,both-dgpu,,ollama,,
gemma4:12b,54,generation,3,post-install verification on sm_120; loads 100% GPU; real content,ollama install verification record,box-a,dgpu-a,,ollama,,
gemma4:12b,47,generation,3,"""sleeper"" all-rounder note; only model small enough to co-host",fleet strengths eval record,box-a,dgpu-a,,,,
gemma4:26b-a4b-it-qat,80.6,generation,3,auditor bench: 5-seeded-bug code review; 20.5s wall; 5/5 + 4 bonus,auditor eval record,box-a,dgpu-a,q4_0-qat,,,
gemma4:26b-a4b-it-qat,100,generation,3,corroborate bench: 18 seeded issues; 18/18 recall; 0 false-positives,auditor eval record,box-a,dgpu-a,q4_0-qat,,,
gemma4:26b-a4b-it-qat,90,generation,3,long-artifact bench: 9.3K-tok input; num_ctx 16384; quality parity with 31b,auditor eval record,box-a,dgpu-a,q4_0-qat,,,
gemma4:31b-it-qat,20.4,generation,3,auditor bench: same 5-seeded-bug review; 41.2s wall; 188 out-tok; 4/5,auditor bench log,box-a,dgpu-a,q4_0-qat,,,
gemma4:31b-it-qat,21,generation,3,corroborate bench: 16/18; 1 false-positive,auditor eval record,box-a,dgpu-a,q4_0-qat,,,
gemma4:31b-it-qat,19,generation,3,long-artifact bench: 9.3K-tok input; num_ctx 16384,auditor eval record,box-a,dgpu-a,q4_0-qat,,,
qwen3-coder:30b,95.6,generation,2,llama.cpp --spec-type none (baseline); greedy; repetitive-code prompt,llama.cpp offload eval record,box-a,dgpu-a,,llama.cpp,,
qwen3-coder:30b,108.1,generation,2,llama.cpp --spec-type ngram-mod; same model/prompt as baseline row,llama.cpp offload eval record,box-a,dgpu-a,,llama.cpp,,
GLM-4.7-Flash,105,generation,1,vLLM/endpoint probe; 535 tok/s prompt; censorship-clean run; device corrected dgpu-a->both-dgpu 2026-08-22: 18 GB of weights cannot fit one 16 GiB 5060 Ti; measured placement 11447/10789 MiB across both cards,GLM serving eval record,box-a,both-dgpu,,,,
